#{"t_start": 1787654605.559379, "env_id": "None"}
r,l,t
-10.80485,51,130.267866
-9.817237,39,130.293526
5.764775,200,130.430546
2.022975,200,130.974921
18.311724,106,131.041193
22.851518,100,131.111233
-16.134235,46,131.142069
-12.814108,200,131.276886
19.688714,84,131.328596
19.620757,91,131.381549
18.954585,175,131.486368
-3.56169,200,132.02406
17.945201,183,132.129268
2.825221,200,132.24451
2.194893,200,132.359647
17.542515,112,132.425168
20.095801,133,132.509065
2.888928,200,133.056162
21.605514,140,133.157575
-7.53214,105,133.232937
0.973583,200,133.383604
1.029358,200,133.527192
19.043206,87,133.580525
17.887885,111,133.647657
19.735086,113,134.164181
19.774146,106,134.232311
17.582718,95,134.28731
1.806646,200,134.406247
18.913808,95,134.478655
-0.063231,200,134.613578
-2.377542,200,134.741649
-8.744675,104,135.191143
-0.024037,200,135.316616
-30.828191,200,135.439096
-2.50486,200,135.571403
17.537247,71,135.613907
2.397628,200,135.730239
8.686326,94,135.784919
-9.271843,199,136.337921
-12.878989,164,136.43322
3.660964,200,136.559835
4.306142,200,136.691041
14.777777,97,136.754015
2.612489,200,136.879197
-4.561947,76,137.346177
-8.410663,127,137.422259
-8.768551,164,137.536937
-4.548374,200,137.657748
20.035529,71,137.700159
18.070398,97,137.761954
18.605224,101,137.82289
-22.165647,36,137.844522
2.733382,200,138.348914
0.985723,200,138.467677
-0.653393,200,138.587779
18.885651,94,138.641187
-12.65364,144,138.725265
19.795332,105,138.790801
-19.310402,105,138.851854
-5.902988,63,138.888269
18.436705,94,139.333737
0.588075,200,139.456914
0.235229,200,139.574885
-6.55242,130,139.64926
3.467418,200,139.763955
3.952812,200,139.88564
-10.064383,115,140.335732
20.398216,89,140.388559
-0.640635,200,140.49921
-6.437376,94,140.555493
-2.17802,200,140.675986
-22.354721,86,140.727045
15.43672,54,140.759516
-0.49627,200,140.883135
19.508664,56,140.923207
18.915274,95,141.406148
20.352655,87,141.458091
0.768376,200,141.593889
3.712676,200,141.729841
0.137104,200,141.88711
20.571234,71,141.94149
17.084514,88,141.999221
1.271365,200,142.573911
18.720954,142,142.66762
-25.629696,200,142.797024
-1.148693,200,142.925931
1.381072,200,143.065109
19.399298,148,143.159536
19.603174,96,143.626929
-4.090535,109,143.690071
0.391041,200,143.806544
-26.146352,26,143.821907
-2.868279,200,143.944662
18.934074,77,144.023207
17.136006,161,144.119034
20.397581,143,144.217728
1.487143,200,144.747842
-0.537853,200,144.862378
-8.742963,39,144.885529
15.007519,133,144.965985
2.390644,200,145.087649
2.22365,200,145.214686
-0.503944,200,145.726432
-30.090643,200,145.857682
20.007573,82,145.913096
-8.282519,136,146.003101
4.715549,200,146.150071
-0.800661,119,146.252377
17.026568,106,146.327579
4.786892,101,146.837968
21.060939,125,146.927159
-15.240158,200,147.075963
-0.706147,200,147.211632
20.241142,100,147.272857
1.468523,200,147.40201
18.707146,86,147.461748
-1.809248,200,148.019313
18.94898,48,148.051222
-2.708685,200,148.172681
-10.020358,200,148.290921
-3.595869,200,148.406013
-24.865795,200,148.518666
17.760746,86,149.022766
17.705893,62,149.061182
6.560269,200,149.214487
-16.541535,200,149.343113
-9.217245,90,149.405122
21.407853,69,149.45279
22.171886,85,149.509684
2.427066,200,149.666574
-0.321937,200,150.272192
-4.716621,200,150.398185
18.660826,67,150.443223
-18.94167,200,150.569897
-10.760748,191,150.690787
-2.957231,200,150.813942
-28.888528,200,151.335211
20.549789,106,151.403837
1.776527,200,151.525927
19.86119,95,151.584164
19.387164,88,151.642554
16.955343,88,151.694151
18.244276,66,151.732929
-25.292256,200,151.856652
18.056305,99,152.341872
-11.099688,40,152.368332
-9.364234,125,152.456334
-9.156268,44,152.486524
1.791932,200,152.625327
3.878801,200,152.75744
19.276157,69,152.801424
19.847293,113,152.873382
-17.826505,74,152.924975
18.85092,110,153.430992
5.183243,91,153.487362
2.420174,200,153.611097
0.763381,200,153.733917
-8.966904,200,153.856975
19.146876,167,153.95652
18.888618,115,154.025604
-4.357081,200,154.53555
2.405227,200,154.649222
19.039142,96,154.704972
2.27672,200,154.818378
17.669817,56,154.850283
-27.883811,36,154.870502
16.400445,89,154.922041
16.949121,50,154.950113
-0.427808,200,155.499803
19.625179,102,155.56645
19.532501,87,155.628291
10.065999,68,155.669827
20.858997,83,155.726091
1.554108,200,155.843468
-29.299935,200,155.968869
-36.79367,200,156.106629
-15.506287,200,156.635143
18.264325,55,156.671306
18.83726,107,156.736081
-4.973057,86,156.790543
-19.508845,32,156.810037
18.791342,76,156.860927
-17.292606,1,156.86165
3.650321,57,156.89868
-1.786605,200,157.021945
3.83011,200,157.152853
15.418457,146,157.631884
1.732882,200,157.749121
15.060882,93,157.803878
-18.805095,27,157.82129
-0.864044,200,157.938544
-10.304996,181,158.046946
-0.74128,200,158.583352
2.185383,200,158.712846
8.025769,88,158.764473
-3.272211,200,158.887896
2.859831,200,159.026113
17.43888,69,159.071445
-11.247506,123,159.174882
16.771088,151,159.712407
15.715892,66,159.756759
-10.566502,19,159.76977
18.221342,97,159.838343
1.914044,200,159.971261
-1.269601,200,160.111445
16.773967,137,160.209108
18.501072,93,160.273132
17.210119,100,160.339382
19.524621,78,160.387505
-0.606384,200,160.947995
18.578998,89,161.011081
18.107194,66,161.057657
-10.198868,159,161.173085
0.173848,200,161.293825
19.823314,100,161.353638
13.686903,64,161.392561
12.955674,182,161.892105
4.175191,200,162.009135
14.908944,174,162.110948
14.165949,95,162.168683
18.495655,53,162.202088
4.548724,200,162.318245
1.590069,200,162.433762
-12.506791,200,162.946401
-2.970919,74,162.989676
19.966668,92,163.047783
23.555242,74,163.089652
21.909721,108,163.149325
20.210934,91,163.203677
6.930454,91,163.255519
18.058533,73,163.296942
-8.626865,26,163.311684
19.005546,97,163.369215
18.091786,67,163.412042
-3.923507,200,163.930831
-16.892838,1,163.931685
19.114346,96,163.991103
-9.413465,30,164.008951
19.692266,81,164.058171
19.399597,63,164.096016
-0.987945,200,164.212322
19.312575,80,164.258266
2.034387,200,164.375746
18.611415,75,164.42021
20.512672,88,164.472096
-2.879153,200,164.970638
-4.211902,200,165.086177
-23.857199,200,165.202875
-6.971843,200,165.318866
20.221995,113,165.383461
1.095507,200,165.879449
